"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","stream_order","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","fcode","geometry"
"21","Site-021","Base","None",-75.091241580425,42.3622266893168,"1",1067943.30406186,9.3637929672536e-07,"None","1","15172","43481465",10000600073300,"02050101001152",NA,NA,2.07420364566,460,46006,"H0205",4,1,1,1.242138,NA,0,1,24000,"Not_Border","NY","Include","Delaware","F36025","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.13549997,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2074.20364566,46006,c(492486.595167498, 4689999.14416029)
"22","Site-022","Base","None",-74.8118522281731,44.5670325514793,"1",1067943.30406186,9.3637929672536e-07,"None","1","320729","135261955",60000300045200,"04290006000940",NA,NA,0.362009505139,334,33400,"H0429",8,1,1,1.662313,NA,0,1,1e+05,"Not_Border","NY","Include","St. Lawrence","F36089","Region_02","H04","Great Lakes Region","H04290006","St. Regis","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.39020001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",362.009505139,33400,c(514940.17707655, 4934872.24951712)
"23","Site-023","Base","None",-75.4536676589966,43.3026852362901,"1",1067943.30406186,9.3637929672536e-07,"None","1","122521","53520643",10000700028800,"02020004002643",NA,NA,1.77589476666,460,46006,"H0202",7,1,1,1.079343,NA,0,1,0,"Not_Border","NY","Include","Oneida","F36065","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.49179997,"NHD100","Urban","Urban","Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1775.89476666,46006,c(463204.302155313, 4794528.28112696)
"24","Site-024","Base","None",-75.2909242793814,43.9715471741944,"1",1067943.30406186,9.3637929672536e-07,"None","1","244199","131857638",60000300019600,"04290002004068","00977230","Indian River",0.518559958705,460,46003,"H0429",6,1,1,1.983694,NA,0,1,1e+05,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04290002","Indian","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.0251,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",518.559958705,46003,c(476664.257161852, 4868753.78977056)
"25","Site-025","Base","None",-77.2905721690964,42.7414224292016,"1",1067943.30406186,9.3637929672536e-07,"None","1","172659","87944616",60000600064900,"04140201005598",NA,NA,1.76564523337,460,46003,"H0414",13,1,1,1.24297414,NA,0,1,1e+05,"Not_Border","NY","Include","Yates","F36123","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.97830001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1765.64523337,46003,c(312514.231821148, 4734645.05595971)
"26","Site-026","Base","None",-75.3850245155753,43.9733075232943,"2",1112126.1828005,8.99178542386125e-07,"None","2","234711","131858947",60000300019600,"04290002004417",NA,NA,0.823115369115,460,46006,"H0429",7,2,2,3.02128,NA,0,1,1e+05,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04290002","Indian","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.44730005,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",823.115369115,46006,c(469117.157221139, 4868980.22048531)
"27","Site-027","Base","None",-76.5165448664325,43.1742527428339,"2",1112126.1828005,8.99178542386125e-07,"None","2","201705","87931552",60000600066100,"04140201003490",NA,NA,1.40724837073,460,46006,"H0414",6,2,2,2.3895763,NA,0,1,250000,"Not_Border","NY","Include","Cayuga","F36011","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",4.12149995,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1407.24837073,46006,c(376737.867134357, 4781281.86116868)
"28","Site-028","Base","None",-76.9643815704174,42.5720066334557,"2",1112126.1828005,8.99178542386125e-07,"None","2","216673","87950248",60000600062100,"04140201002421",NA,NA,0.752412984034,460,46006,"H0414",7,2,2,1.37714468,NA,0,1,1e+05,"Not_Border","NY","Include","Yates","F36123","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.26909999,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",752.412984034,46006,c(338776.957834356, 4715158.75672162)
"29","Site-029","Base","None",-76.2566643047397,42.3904693097172,"2",1112126.1828005,8.99178542386125e-07,"None","2","287345","46455807",10000600054800,"02050103000853",NA,NA,0.982939824377,460,46006,"H0205",4,2,2,3.56927458,NA,0,1,250000,"Not_Border","NY","Include","Tioga","F36107","Region_02","H02","Mid-Atlantic Region","H02050103","Owego-Wappasening","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.86560002,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",982.939824377,46006,c(396563.95951685, 4693895.87042761)
"30","Site-030","Base","None",-75.9698776161056,44.0728060258864,"2",1112126.1828005,8.99178542386125e-07,"None","2","241400","129617770",60000600097500,"04140302000473",NA,NA,2.2936340906,460,46006,"H0414",7,2,2,2.53894221,NA,0,1,1e+05,"Not_Border","NY","Include","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04140302","Chaumont-Perch","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.71479997,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2293.6340906,46006,c(422335.948313966, 4880416.54094571)
"31","Site-031","Base","None",-73.7162574597474,44.705252783588,"2",1112126.1828005,8.99178542386125e-07,"None","2","220606","129689288",60000200116800,"04300106000490",NA,NA,3.81396097265,460,46006,"H0430",6,2,2,7.16691612,NA,0,1,250000,"Not_Border","NY","Include","Clinton","F36019","Region_02","H02","Mid-Atlantic Region","H04300106","Saranac River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",12.95520001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ac","Eastern Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3813.96097265,46006,c(601696.046029073, 4951010.07252623)
"32","Site-032","Base","None",-77.0802246815629,42.2540394079596,"2",1112126.1828005,8.99178542386125e-07,"None","2","22674","48519898",10000600021000,"02050105001841",NA,NA,0.288799894665,460,46006,"H0205",5,2,2,3.42253845,NA,0,1,250000,"Not_Border","NY","Include","Steuben","F36101","Region_02","H02","Mid-Atlantic Region","H02050105","Chemung","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",8.56600004,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",288.799894665,46006,c(328403.991602041, 4680077.65904839)
"33","Site-033","Base","None",-74.0905135241748,41.8176996791182,"2",1112126.1828005,8.99178542386125e-07,"None","2","40196","61779829",10000700014600,"02020007000965",NA,NA,0.634876408664,460,46006,"H0202",4,2,2,3.03338616,NA,0,1,0,"Not_Border","NY","Include","Ulster","F36111","Region_02","H02","Mid-Atlantic Region","H02020007","Rondout","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.1646999,"NHD100","Urban","Non-Urban","Urban",118,"67k","Northern Glaciated Shale and Slate Valleys","67","Ridge and Valley","8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",634.876408664,46006,c(575536.465845195, 4629935.70381963)
"34","Site-034","Base","None",-74.3969348894907,43.1989322019713,"2",1112126.1828005,8.99178542386125e-07,"None","2","310672","167311479",10000700070200,"02020002000426",NA,NA,1.40855329654,460,46006,"H0202",6,2,2,4.6476476,NA,0,1,0,"Not_Border","NY","Include","Fulton","F36035","Region_02","H02","Mid-Atlantic Region","H02020002","Sacandaga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.46099999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1408.55329654,46006,c(548996.026180031, 4783082.77668568)
