"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"11","Site-011","Base","None",-75.0487141173203,42.4009900418201,"1",1067943.30406186,9.3637929672536e-07,"None","26212","43480889",10000600014300,"02050101001158","00950953","Gay Creek",3.5296784365,460,46006,"H0205",3,1,1,1.945153,NA,0,1,1e+05,"Not_Border","NY","Include","Delaware","F36025","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.31040001,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3529.6784365,c(495991.040437528, 4694300.40026519),46006,1
"12","Site-012","Base","None",-77.2251058928669,42.3331139489098,"1",1067943.30406186,9.3637929672536e-07,"None","74801","48519032",10000600014800,"02050105000516",NA,NA,4.0889865853,460,46006,"H0205",4,1,1,1.965992,NA,0,1,250000,"Not_Border","NY","Include","Steuben","F36101","Region_02","H02","Mid-Atlantic Region","H02050105","Chemung","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.96559999,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",4088.9865853,c(316681.879992897, 4689160.38629798),46006,1
"13","Site-013","Base","None",-74.2071837943331,43.4202517711994,"1",1067943.30406186,9.3637929672536e-07,"None","299108","47689787",10000700032900,"02020002000739",NA,NA,0.15428078848,460,46006,"H0202",6,1,1,4.69620831,NA,0,1,0,"Not_Border","NY","Include","Hamilton","F36041","Region_02","H02","Mid-Atlantic Region","H02020002","Sacandaga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.11789997,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",154.28078848,c(564179.106658992, 4807789.97331993),46006,1
"14","Site-014","Base","None",-75.9352766485825,44.1717212064884,"1",1067943.30406186,9.3637929672536e-07,"None","209228","129617168",60000600098400,"04140302000545",NA,NA,3.23474472822,460,46006,"H0414",8,1,1,1.465063,NA,0,1,50000,"Not_Border","NY","Include","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04140302","Chaumont-Perch","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.26679998,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3234.74472822,c(425231.535547516, 4891371.071152),46006,1
"15","Site-015","Base","None",-76.568709750419,42.9155564924409,"1",1067943.30406186,9.3637929672536e-07,"None","200084","{DA936B99-E258-497D-A1B5-D6723AE7E061}",60000600071300,"04140201004977",NA,NA,2.42087007958,460,46006,"H0414",7,1,1,1.53028958,NA,0,1,1e+05,"Not_Border","NY","Include","Cayuga","F36011","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.89450001,"NHD100","Urban","Urban","Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2420.87007958,c(371960.903883169, 4752631.22987659),46006,1
"16","Site-016","Base","None",-78.468225115933,42.6900341565097,"1",1067943.30406186,9.3637929672536e-07,"None","227141","158714941",60001100025200,"04120103000288",NA,NA,3.06907968437,460,46006,"H0412",8,1,1,1.21284672,NA,0,1,50000,"Not_Border","NY","Include","Wyoming","F36121","Region_02","H04","Great Lakes Region","H04120103","Buffalo-Eighteenmile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.84430004,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60f","Cattaraugus Hills","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3069.07968437,c(215879.631402959, 4732228.80022446),46006,1
"17","Site-017","Base","None",-73.4729185009564,42.8169359478248,"1",1067943.30406186,9.3637929672536e-07,"None","128323","50517881",10000700037500,"02020003000493",NA,NA,0.467062325163,460,46006,"H0202",4,1,1,2.92949679,NA,0,1,5e+05,"Not_Border","NY","Include","Rensselaer","F36083","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.18280005,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",467.062325163,c(624839.928306621, 4741617.02688739),46006,1
"18","Site-018","Base","None",-76.0051425588534,43.7452787325207,"1",1067943.30406186,9.3637929672536e-07,"None","221455","129632967",60000600070700,"04140102000478",NA,NA,1.39118920492,460,46006,"H0414",9,1,1,2.39523229,NA,0,1,24000,"Not_Border","NY","Include","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04140102","Salmon-Sandy","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.50940001,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58af","Tug Hill Transition","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1391.18920492,c(419069.432378049, 4844073.02171901),46006,1
"19","Site-019","Base","None",-74.232481034955,41.2298378336694,"1",1067943.30406186,9.3637929672536e-07,"None","287354","60458765",10000100088800,"02030103000990",NA,NA,0.415449146361,460,46006,"H0203",6,1,1,1.202334,NA,0,1,0,"Not_Border","NY","Include","Orange","F36071","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.60120001,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58i","Glaciated Reading Prong/Hudson Highlands","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",415.449146361,c(564325.026745921, 4564555.72025384),46006,1
"20","Site-020","Base","None",-76.4377647294793,43.3270025818375,"1",1067943.30406186,9.3637929672536e-07,"None","246856","150631592",60000600079300,"04140203000713",NA,NA,1.84466234146,460,46006,"H0414",7,1,1,1.384557,NA,0,1,24000,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140203","Oswego","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.13890001,"Not_NHD100","Urban","Urban","Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1844.66234146,c(383432.805288098, 4798132.57431642),46006,1
"21","Site-021","Base","None",-74.7372955274554,42.9624171981001,"1",1067943.30406186,9.3637929672536e-07,"None","192325","53533683",10000700058500,"02020004001162",NA,NA,3.17579827757,460,46006,"H0202",5,1,1,1.143752,NA,0,1,0,"Not_Border","NY","Include","Montgomery","F36057","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.01660005,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3175.79827757,c(521425.659863028, 4756674.77920691),46006,1
"22","Site-022","Base","None",-73.6115672886094,44.3308619421205,"1",1067943.30406186,9.3637929672536e-07,"None","214256","92069811",60000200115800,"04300108004624",NA,NA,0.804890620978,460,46006,"H0430",8,1,1,4.03920536,NA,0,1,1e+05,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H04300108","Lake Champlain","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.57939997,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ac","Eastern Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",804.890620978,c(610696.166918547, 4909559.36538342),46006,1
"23","Site-023","Base","None",-73.4902532694315,42.6772119237095,"1",1067943.30406186,9.3637929672536e-07,"None","231457","52817009",10000700008800,"02020006002407",NA,NA,0.531447272066,460,46006,"H0202",3,1,1,1.848401,NA,0,1,1e+05,"Not_Border","NY","Include","Rensselaer","F36083","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.8385,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58ag","Rensselaer Plateau","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",531.447272066,c(623700.346401118, 4726075.63526348),46006,1
"24","Site-024","Base","None",-77.2300301891857,42.1428839109462,"1",1067943.30406186,9.3637929672536e-07,"None","52073","57347923",10000600088600,"02050104001744",NA,NA,4.07968845875,460,46003,"H0205",6,1,1,1.289691,NA,0,1,1e+05,"Not_Border","NY","Include","Steuben","F36101","Region_02","H02","Mid-Atlantic Region","H02050104","Tioga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.90430004,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",4079.68845875,c(315723.223861248, 4668047.54499056),46003,1
"25","Site-025","Base","None",-77.327253310614,43.0922872702957,"2",1112126.1828005,8.99178542386125e-07,"None","207460","87933380",60000600094700,"04140201004255",NA,NA,1.51088174212,334,33400,"H0414",12,2,2,3.18964257,NA,0,1,250000,"Not_Border","NY","Include","Wayne","F36117","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",9.81710004,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1510.88174212,c(310590.008905005, 4773691.98014465),33400,2
"26","Site-026","Base","None",-78.3229888456842,42.0138601975224,"2",1112126.1828005,8.99178542386125e-07,"None","97654","112361015",24000400021200,"05010001001477","00945379","Butternut Brook",2.0796294832,460,46006,"H0501",4,2,2,4.09279505,NA,0,1,5e+05,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",6.62080001,"NHD100","Non-Urban","Urban","Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2079.6294832,c(224841.402672213, 4656658.84288756),46006,2
"27","Site-027","Base","None",-74.8456827185432,41.8246813792945,"2",1112126.1828005,8.99178542386125e-07,"None","119907","037659DE-702B-4FED-852B-04A9B4B00DF4",10000200064200,"02040101000012","00953235","Horseshoe Brook",1.1429628957,460,46006,"H0204",2,2,2,1.518142,NA,0,1,250000,"Not_Border","NY","Include","Sullivan","F36105","Region_02","H02","Mid-Atlantic Region","H02040101","Upper Delaware","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.83959998,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"60b","Delaware-Neversink Highlands","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1142.9628957,c(512815.212296967, 4630322.60596384),46006,2
"28","Site-028","Base","None",-73.3036457811939,43.5641084611016,"2",1112126.1828005,8.99178542386125e-07,"None","135068","52523066",60000200040600,"04300101000652",NA,NA,0.512945235119,460,46006,"H0430",6,2,2,3.00997351,NA,0,1,5e+05,"Not_Border","NY","Include","Washington","F36115","Region_02","H02","Mid-Atlantic Region","H04300101","Mettawee River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.37960001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",512.945235119,c(636996.466045874, 4824859.0374024),46006,2
"29","Site-029","Base","None",-76.5681985940587,43.2455504864856,"2",1112126.1828005,8.99178542386125e-07,"None","188767","113129059",60000600060100,"04140101000323",NA,NA,0.880961894365,460,46006,"H0414",9,2,2,4.98091127,NA,0,1,250000,"Not_Border","NY","Include","Cayuga","F36011","Region_02","H04","Great Lakes Region","H04140101","Irondequoit-Ninemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",9.41029998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",880.961894365,c(372687.891860373, 4789277.1844171),46006,2
"30","Site-030","Base","None",-78.6001532826415,42.3724688154802,"2",1112126.1828005,8.99178542386125e-07,"None","106470","112351885",24000400035400,"05010001001170",NA,NA,0.58213683934,460,46006,"H0501",5,2,2,3.6163279,NA,0,1,1e+05,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",4.80540005,"NHD100","Non-Urban","Non-Urban","Non-Urban",150,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",582.13683934,c(203570.784034576, 4697413.17860773),46006,2
"31","Site-031","Base","None",-75.184047137178,42.5278014176378,"2",1112126.1828005,8.99178542386125e-07,"None","34804","43478349",10000600058400,"02050101004485",NA,NA,0.414495673839,460,46006,"H0205",4,2,2,1.363534,NA,0,1,1e+05,"Not_Border","NY","Include","Otsego","F36077","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.43309997,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",414.495673839,c(484884.257410956, 4708396.52735031),46006,2
"32","Site-032","Base","None",-74.5490643793373,43.1702574284877,"2",1112126.1828005,8.99178542386125e-07,"None","343785","53524987",10000700030300,"02020004001874",NA,NA,2.41214279248,460,46006,"H0202",6,2,2,12.58754908,NA,0,1,0,"Not_Border","NY","Include","Fulton","F36035","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",12.73020005,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2412.14279248,c(536653.397839893, 4779820.55961105),46006,2
"33","Site-033","Base","None",-77.2001124120726,42.1252050691349,"2",1112126.1828005,8.99178542386125e-07,"None","73847","57348001",10000600020300,"02050104000777",NA,NA,1.48612781567,460,46006,"H0205",5,2,2,4.58373469,NA,0,1,250000,"Not_Border","NY","Include","Steuben","F36101","Region_02","H02","Mid-Atlantic Region","H02050104","Tioga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",12.35750004,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1486.12781567,c(318144.984606414, 4666020.32450856),46006,2
