"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"11","Site-012","Base","None",-74.7815546696248,44.9266840637606,"1",1067943.30406186,9.3637929672536e-07,"None","162816","132419651",60000300016400,"04290005000993",NA,NA,2.50616364501,460,46003,"H0429",6,1,1,1.487307,NA,0,1,1e+05,"Not_Border","NY","Include","St. Lawrence","F36089","Region_02","H04","Great Lakes Region","H04290005","Raquette","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.9508,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83d","St. Lawrence Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2506.16364501,c(517238.776182624, 4974829.18889633),46003,"1"
"12","Site-013","Base","None",-78.761962622569,42.8369608522982,"1",1067943.30406186,9.3637929672536e-07,"None","184114","108909009",60001100019200,"04120103000583","00949328","Ebenezer Brook",1.72320079413,460,46006,"H0412",8,1,1,1.82442716,NA,0,1,1e+05,"Not_Border","NY","Include","Erie","F36029","Region_02","H04","Great Lakes Region","H04120103","Buffalo-Eighteenmile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.3826,"NHD100","Urban","Urban","Urban",116,"83a","Erie/Ontario Lake Plain","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1723.20079413,c(192542.185801062, 4749577.79475284),46006,"1"
"13","Site-014","Base","None",-75.6827993737317,42.5079165244042,"1",1067943.30406186,9.3637929672536e-07,"None","281515","62624534",10000600042600,"02050102001563","00944525","Bowman Creek",0.931071544849,460,46006,"H0205",3,1,1,4.06186175,NA,0,1,1e+05,"Not_Border","NY","Include","Chenango","F36017","Region_02","H02","Mid-Atlantic Region","H02050102","Chenango","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",6.10190004,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",931.071544849,c(443903.976169726, 4706397.97622302),46006,"1"
"14","Site-015","Base","None",-74.0250896744429,43.1976369045553,"1",1067943.30406186,9.3637929672536e-07,"None","224375","47712165",10000700063200,"02020002000300",NA,NA,1.57725340943,460,46006,"H0202",5,1,1,4.13017101,NA,0,1,0,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020002","Sacandaga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.5873,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1577.25340943,c(579208.419677538, 4783223.72492849),46006,"1"
"15","Site-016","Base","None",-75.8065443136085,44.0596931189203,"1",1067943.30406186,9.3637929672536e-07,"None","226172","131858644",60000300039400,"04290002004386",NA,NA,3.58948095079,460,46006,"H0429",9,1,1,2.816479,NA,0,1,5e+05,"Not_Border","NY","Include","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04290002","Indian","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.09480002,"NHD100","Urban","Non-Urban","Non-Urban",117,"83d","St. Lawrence Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","DOD","Not_USFS","SS",3589.48095079,c(435400.820473931, 4878819.05493272),46006,"1"
"16","Site-017","Base","None",-78.7218173887179,42.2359261573921,"1",1067943.30406186,9.3637929672536e-07,"None","100738","112354979",24000400005800,"05010001001126",NA,NA,0.887154885526,460,46006,"H0501",5,1,1,1.77824717,NA,0,1,1e+05,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",2.00239999,"NHD100","Non-Urban","Non-Urban","Non-Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",887.154885526,c(192888.004173667, 4682681.189411),46006,"1"
"17","Site-018","Base","None",-73.5239652440939,42.0870415038082,"1",1067943.30406186,9.3637929672536e-07,"None","20706","52837959",10000700066400,"02020006000926",NA,NA,0.443315451493,460,46006,"H0202",5,1,1,3.13978366,NA,0,1,250000,"Not_Border","NY","Include","Columbia","F36021","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.19070001,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58b","Western New England Marble Valleys","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",443.315451493,c(622076.353355478, 4660494.48532278),46006,"1"
"18","Site-019","Base","None",-74.1764775483759,44.5699666125394,"1",1067943.30406186,9.3637929672536e-07,"None","342352","132874368",60000300054200,"04290007000398",NA,NA,1.00617844962,460,46006,"H0429",7,1,1,1.050887,NA,0,1,1e+05,"Not_Border","NY","Include","Franklin","F36033","Region_02","H04","Great Lakes Region","H04290007","Salmon","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.536,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1006.17844962,c(565389.875941824, 4935510.74678085),46006,"1"
"19","Site-020","Base","None",-75.6587990141262,43.4499542821716,"1",1067943.30406186,9.3637929672536e-07,"None","343010","124492718",60000600089400,"04140202000952",NA,NA,0.39319158919,460,46006,"H0414",10,1,1,4.38835537,NA,0,1,1e+05,"Not_Border","NY","Include","Oneida","F36065","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.95780002,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58ae","Tug Hill Plateau","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",393.19158919,c(446695.800801292, 4810994.18388685),46006,"1"
"20","Site-021","Base","None",-78.6007727186755,42.971862834789,"1",1067943.30406186,9.3637929672536e-07,"None","322312","118011561",60000800300500,"04270101001742","00962189","Ransom Creek",0.719470914974,460,46006,"H0427",8,1,1,2.12963837,NA,0,1,250000,"Not_Border","NY","Include","Erie","F36029","Region_02","H04","Great Lakes Region","H04270101","Niagara River","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.90300003,"NHD100","Urban","Urban","Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",719.470914974,c(206359.130799038, 4763984.007615),46006,"1"
"21","Site-022","Base","None",-73.7646518792955,41.6591869193384,"1",1067943.30406186,9.3637929672536e-07,"None","78247","162424251",10000700007200,"02020008000880",NA,NA,1.84146582668,460,46006,"H0202",5,1,1,1.094404,NA,0,1,0,"Not_Border","NY","Include","Dutchess","F36027","Region_02","H02","Mid-Atlantic Region","H02020008","Hudson-Wappinger","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.79510002,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1841.46582668,c(602853.634506002, 4612674.34944558),46006,"1"
"22","Site-023","Base","None",-74.162783959935,43.9928152445437,"1",1067943.30406186,9.3637929672536e-07,"None","301729","89346549",10000700004600,"02020001000621",NA,NA,0.807628965777,460,46006,"H0202",3,1,1,2.46896134,NA,0,1,0,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H02020001","Upper Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.22279998,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58ad","Central Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",807.628965777,c(567131.239115795, 4871415.52131497),46006,"1"
"23","Site-024","Base","None",-76.0648049770349,43.3075462290193,"1",1067943.30406186,9.3637929672536e-07,"None","251582","167069878",60000600091300,"04140202000615","00965434","Slocum Creek",2.79683715344,460,46006,"H0414",8,1,1,2.2353157,NA,0,1,1e+05,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",2.88689998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2796.83715344,c(413643.320218621, 4795518.64185014),46006,"1"
"24","Site-025","Base","None",-77.903692945345,42.5315253650817,"1",1067943.30406186,9.3637929672536e-07,"None","105017","167785142",60000700002500,"04130002000996","00958539","Newville Creek",0.766506632384,460,46003,"H0413",13,1,1,1.68594096,NA,0,1,250000,"Not_Border","NY","Include","Livingston","F36051","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.16160001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",766.506632384,c(261525.719330629, 4712880.37803753),46003,"1"
"25","Site-026","Base","None",-79.0182089987434,42.0693337011511,"2",1112126.1828005,8.99178542386125e-07,"None","103168","112363129",24000400026200,"05010001008037","00955468","Little Bone Run",0.882444407388,460,46006,"H0501",4,2,2,6.57043554,NA,0,1,1e+06,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",8.21959995,"NHD100","Non-Urban","Non-Urban","Non-Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",882.444407388,c(167554.779286162, 4665291.86445624),46006,"2"
"26","Site-027","Base","None",-74.8114109941333,42.1651654237356,"2",1112126.1828005,8.99178542386125e-07,"None","70300","25528514",10000200297700,"02040102000206",NA,NA,1.59024607126,460,46006,"H0204",3,2,2,5.27024169,NA,0,1,0,"Not_Border","NY","Include","Delaware","F36025","Region_02","H02","Mid-Atlantic Region","H02040102","East Branch Delaware","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",6.82150001,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"60c","Catskills Transition","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1590.24607126,c(515578.041843107, 4668131.82714918),46006,"2"
"27","Site-028","Base","None",-73.3590462403886,42.5450860044559,"2",1112126.1828005,8.99178542386125e-07,"None","145933","52820463",10000700008900,"02020006003008",NA,NA,1.88889925711,460,46006,"H0202",3,2,2,1.268146,NA,0,1,1e+05,"Not_Border","NY","Include","Rensselaer","F36083","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.01320002,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1888.89925711,c(634735.526202364, 4711604.18561931),46006,"2"
"28","Site-029","Base","None",-74.9488446013884,43.9871523242847,"2",1112126.1828005,8.99178542386125e-07,"None","332440","133095210",60000300014100,"04290003007833",NA,NA,0.637671621669,460,46006,"H0429",8,2,2,3.163899,NA,0,1,1e+05,"Not_Border","NY","Include","Herkimer","F36043","Region_02","H04","Great Lakes Region","H04290003","Oswegatchie","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.72289993,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",637.671621669,c(504102.223523379, 4870447.15116629),46006,"2"
"29","Site-030","Base","None",-78.5416559637904,42.5675567170709,"2",1112126.1828005,8.99178542386125e-07,"None","205860","87204804",60001100022500,"04120102000419",NA,NA,1.26020168905,460,46006,"H0412",9,2,2,3.4684607,NA,0,1,250000,"Not_Border","NY","Include","Erie","F36029","Region_02","H04","Great Lakes Region","H04120102","Cattaraugus","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",4.60779996,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60f","Cattaraugus Hills","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1260.20168905,c(209293.328317163, 4718876.44353123),46006,"2"
"30","Site-031","Base","None",-74.6714548396257,42.4517155190972,"2",1112126.1828005,8.99178542386125e-07,"None","58058","43478521",10000600014700,"02050101004517",NA,NA,2.22037428981,460,46006,"H0205",5,2,2,2.67898159,NA,0,1,1e+05,"Not_Border","NY","Include","Delaware","F36025","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.17770005,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2220.37428981,c(527016.058921405, 4699983.94461349),46006,"2"
"31","Site-032","Base","None",-76.9856637750503,43.1835825362217,"2",1112126.1828005,8.99178542386125e-07,"None","170192","113130383",60000600086400,"04140101000389","00964764","Second Creek",2.8206037549,460,46006,"H0414",8,2,2,5.95561474,NA,0,1,250000,"Not_Border","NY","Include","Wayne","F36117","Region_02","H04","Great Lakes Region","H04140101","Irondequoit-Ninemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",13.02920002,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83a","Erie/Ontario Lake Plain","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2820.6037549,c(338632.399016729, 4783115.60229192),46006,"2"
"32","Site-033","Base","None",-74.2286819726174,43.1728430751382,"2",1112126.1828005,8.99178542386125e-07,"None","143024","47713209",10000700032800,"02020002000385",NA,NA,1.64202773062,460,46006,"H0202",5,2,2,3.39207949,NA,0,1,0,"Not_Border","NY","Include","Fulton","F36035","Region_02","H02","Mid-Atlantic Region","H02020002","Sacandaga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.8505,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58ac","Eastern Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1642.02773062,c(562692.476430468, 4780297.74789379),46006,"2"
"33","Site-034","Base","None",-77.8759413020997,42.2202935316115,"2",1112126.1828005,8.99178542386125e-07,"None","294859","84194573",60000700016800,"04130002003500",NA,NA,0.815002563182,460,46003,"H0413",12,2,2,1.30264287,NA,0,1,1e+05,"Not_Border","NY","Include","Allegany","F36003","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.99720002,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60e","Glaciated Allegheny Hills","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",815.002563182,c(262634.82423416, 4678240.56665453),46003,"2"
