siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order
Site-011,Base,None,-76.26882306,43.48541623,None,1058021.222,9.45E-07,None,213722,129634619,6.00006E+13,4.1401E+12,NA,NA,2.360067225,460,46006,H0414,7,1,1,1.82446561,NA,0,1,24000,Not_Border,NY,Include,Oswego,F36075,Region_02,H04,Great Lakes Region,H04140102,Salmon-Sandy,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,2.57690004,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2360.067225,c(397397.708377739, 4815503.61429721),46006,1
Site-012,Base,None,-74.82138914,42.15688925,None,1058021.222,9.45E-07,None,44705,991B556B-4C8C-4F36-B3EB-5D45933AED69,1.00002E+13,2.0401E+12,NA,NA,0.767196915,460,46006,H0204,3,2,2,4.54654904,NA,0,1,0,Not_Border,NY,Include,Delaware,F36025,Region_02,H02,Mid-Atlantic Region,H02040102,East Branch Delaware,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,5.66359996,NHD100,Non-Urban,Non-Urban,Non-Urban,118,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,767.1969152,c(514755.738443412, 4667211.1332923),46006,2
Site-013,Base,None,-77.48761431,42.65909895,None,1058021.222,9.45E-07,None,353747,42147103,6.00007E+13,4.13E+12,970217,Honeoye Inlet,0.009324881,460,46006,H0413,11,3,3,9.64625245,NA,0,1,5.00E+05,Not_Border,NY,Include,Ontario,F36069,Region_02,H04,Great Lakes Region,H04130003,Lower Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,18.63839998,NHD100,Non-Urban,Non-Urban,Non-Urban,116,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,9.324881142,c(296115.99350027, 4725959.660343),46006,3
Site-014,Base,None,-73.99057524,43.63184713,None,1058021.222,9.45E-07,None,144495,89357637,1.00007E+13,2.02E+12,958766,North Creek,1.200995436,460,46003,H0202,2,1,1,0.426294,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Warren,F36113,Region_02,H02,Mid-Atlantic Region,H02020001,Upper Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.62309998,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58ad,Central Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1200.995436,c(581428.681712955, 4831479.21177538),46003,1
Site-015,Base,None,-78.63186279,43.33750216,None,1058021.222,9.45E-07,None,219276,124589912,6.00007E+13,4.13E+12,NA,NA,6.630710714,460,46003,H0413,9,1,1,2.18974802,NA,0,1,1.00E+05,Not_Border,NY,Include,Niagara,F36063,Region_02,H04,Great Lakes Region,H04130001,Oak Orchard-Twelvemile,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,5.79709999,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83a,Erie/Ontario Lake Plain,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,6630.710714,c(205586.553328699, 4804703.29805263),46003,1
Site-016,Base,None,-74.04584214,41.26908034,None,1058021.222,9.45E-07,None,277416,55500991,1.00001E+13,2.0301E+12,966437,Stillwater Brook,0.475184735,460,46006,H0203,4,1,1,1.643665,NA,0,1,0,Not_Border,NY,Include,Rockland,F36087,Region_02,H02,Mid-Atlantic Region,H02030101,Lower Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.89240004,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58i,Glaciated Reading Prong/Hudson Highlands,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,475.1847351,c(579919.387042053, 4569067.18631014),46006,1
Site-017,Base,None,-78.69382797,42.24375031,None,1058021.222,9.45E-07,None,294251,112354743,2.40004E+13,5.01E+12,NA,NA,0.776376434,460,46003,H0501,6,1,1,0.31198972,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Cattaraugus,F36009,Region_02,H05,Ohio Region,H05010001,Upper Allegheny,H05_06,Ohio-Tennessee Region,H05_06,Ohio-Tennessee Region,0.33749999,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,150,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,776.3764343,c(195235.620197618, 4683449.4872013),46003,1
Site-018,Base,None,-73.70469864,43.1148656,None,1058021.222,9.45E-07,None,152512,50509579,1.00007E+13,2.02E+12,NA,NA,2.122571252,460,46003,H0202,6,1,1,1.1722,NA,0,1,1.00E+05,Not_Border,NY,Include,Saratoga,F36091,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.53099998,NHD100,Urban,Urban,Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2122.571252,c(605381.603717508, 4774384.76493299),46003,1
Site-019,Base,None,-75.18388231,43.70127426,None,1058021.222,9.45E-07,None,231907,131798653,6.00006E+13,4.1403E+12,NA,NA,0.432253462,460,46003,H0414,9,1,1,0.35702316,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Lewis,F36049,Region_02,H04,Great Lakes Region,H04140301,Black,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.3207,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,432.2534619,c(485183.631044384, 4838711.32823319),46003,1
Site-020,Base,None,-76.14264001,44.23135243,None,1058021.222,9.45E-07,None,7387,131100921,6.00003E+13,4.29E+12,NA,NA,1.274981884,558,55800,H0429,6,2,2,4.001297,{3639CB18-9B52-4A91-8E9C-B6A7E856B709},0,1,250000,Not_Border,NY,Exclude_Connector,Jefferson,F36045,Region_02,H04,Great Lakes Region,H04290001,Headwaters St. Lawrence River,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,8.29039999,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1274.981884,c(408746.406947269, 4898203.93775392),55800,2
Site-021,Base,None,-79.04382503,42.16251067,None,1058021.222,9.45E-07,None,101785,129444878,2.40004E+13,5.01E+12,948673,Dry Brook,1.094296629,460,46006,H0501,5,2,2,4.37900581,NA,0,1,1.00E+05,Not_Border,NY,Include,Cattaraugus,F36009,Region_02,H05,Ohio Region,H05010002,Conewango,H05_06,Ohio-Tennessee Region,H05_06,Ohio-Tennessee Region,5.78210001,NHD100,Non-Urban,Non-Urban,Non-Urban,150,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1094.296629,c(165925.702961381, 4675740.10664216),46006,2
Site-022,Base,None,-73.94246518,44.22973819,None,1058021.222,9.45E-07,None,238941,115351129,6.00002E+13,4.3001E+12,958853,North Meadow Brook,1.104495109,460,46006,H0430,7,2,2,17.10995141,NA,0,1,5.00E+05,Not_Border,NY,Include,Essex,F36031,Region_02,H02,Mid-Atlantic Region,H04300104,Ausable River,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,22.3117,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ad,Central Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1104.495109,c(584459.202889506, 4897933.59831319),46006,2
Site-023,Base,None,-75.58837936,43.03048711,None,1058021.222,9.45E-07,None,186494,167070310,6.00006E+13,4.1402E+12,NA,NA,2.018500122,460,46006,H0414,7,1,1,0.69833554,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Madison,F36053,Region_02,H04,Great Lakes Region,H04140202,Oneida,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.92699997,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2018.500122,c(452065.826688635, 4764368.29983367),46006,1
Site-024,Base,None,-74.57301586,42.53059572,None,1058021.222,9.45E-07,None,25108,33525421,1.00007E+13,2.02001E+12,NA,NA,1.13749973,460,46006,H0202,6,2,2,3.85766076,NA,0,1,0,Not_Border,NY,Include,Schoharie,F36095,Region_02,H02,Mid-Atlantic Region,H02020005,Schoharie,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,5.63969995,NHD100,Non-Urban,Non-Urban,Non-Urban,118,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1137.49973,c(535066.554803757, 4708778.72086489),46006,2
Site-025,Base,None,-76.10616828,42.15422518,None,1058021.222,9.45E-07,None,24795,46460853,1.00006E+13,2.0501E+12,NA,NA,3.094160999,460,46003,H0205,4,2,2,2.46561646,NA,0,1,1.00E+05,Not_Border,NY,Include,Broome,F36007,Region_02,H02,Mid-Atlantic Region,H02050103,Owego-Wappasening,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,4.71770001,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,3094.160999,c(408610.741296241, 4667492.00446608),46003,2
Site-026,Base,None,-75.02448941,44.20361804,None,1058021.222,9.45E-07,None,176836,133092446,6.00003E+13,4.29E+12,NA,NA,1.382738533,460,46006,H0429,6,1,1,0.523031,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,St. Lawrence,F36089,Region_02,H04,Great Lakes Region,H04290003,Oswegatchie,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.7795,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ab,Northern and Western Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1382.738533,c(498043.310569539, 4894488.94460353),46006,1
Site-027,Base,None,-76.33937622,43.24620919,None,1058021.222,9.45E-07,None,190502,123930823,6.00006E+13,4.1402E+12,959532,Oswego River,1.989746367,558,55800,H0414,5,8,8,8762.543147,123931223,0,1,5.00E+06,Not_Border,NY,Include,Oswego,F36075,Region_02,H04,Great Lakes Region,H04140203,Oswego,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,19179.5289,NHD100,Urban,Urban,Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,1989.746367,c(391265.933392356, 4789027.32657934),55800,4
Site-028,Base,None,-75.7966443,42.31077724,None,1058021.222,9.45E-07,None,68044,62631618,1.00006E+13,2.0501E+12,NA,NA,0.184298401,558,55800,H0205,4,1,1,0.004874,120006992,0,1,24000,Not_Border,NY,Exclude_Connector,Chenango,F36017,Region_02,H02,Mid-Atlantic Region,H02050102,Chenango,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.0108,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,184.2984014,c(434345.609566323, 4684589.66119328),55800,1
Site-029,Base,None,-77.63740435,42.03272885,None,1058021.222,9.45E-07,None,62412,57349897,1.00006E+13,2.0501E+12,NA,NA,1.756807433,460,46006,H0205,6,1,1,1.028786,NA,0,1,24000,Not_Border,NY,Include,Steuben,F36101,Region_02,H02,Mid-Atlantic Region,H02050104,Tioga,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.10530002,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1756.807433,c(281680.300541116, 4656775.7072246),46006,1
Site-030,Base,None,-74.68766014,43.65095206,None,1058021.222,9.45E-07,None,326818,131803591,6.00006E+13,4.1403E+12,949895,Falls Pond Outlet,0.534481553,460,46006,H0414,9,3,3,8.78518057,NA,0,1,250000,Not_Border,NY,Include,Hamilton,F36041,Region_02,H04,Great Lakes Region,H04140301,Black,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,7.19839996,NHD100,Non-Urban,Non-Urban,Non-Urban,116,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,534.4815531,c(525187.915898431, 4833153.43364966),46006,3
Site-031,Base,None,-78.57227666,42.81526863,None,1058021.222,9.45E-07,None,180905,108909541,6.00011E+13,4.1201E+12,NA,NA,1.927882491,460,46003,H0412,9,1,1,0.46317297,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Erie,F36029,Region_02,H04,Great Lakes Region,H04120103,Buffalo-Eighteenmile,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.83250002,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1927.882491,c(207944.17771621, 4746493.00137337),46003,1
Site-032,Base,None,-74.24813644,41.38985218,None,1058021.222,9.45E-07,None,13564,37090887,1.00007E+13,2.02001E+12,NA,NA,0.979487039,460,46006,H0202,5,1,1,0.496555,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Orange,F36071,Region_02,H02,Mid-Atlantic Region,H02020008,Hudson-Wappinger,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.89119998,NHD100,Non-Urban,Non-Urban,Non-Urban,118,67k,Northern Glaciated Shale and Slate Valleys,67,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS,SAP,Southern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,979.4870393,c(562859.058835272, 4582308.52214839),46006,1
Site-033,Base,None,-78.11077296,42.25254414,None,1058021.222,9.45E-07,None,296528,84194145,6.00007E+13,4.13E+12,NA,NA,1.71378264,460,46003,H0413,12,1,1,1.18450814,NA,0,1,250000,Not_Border,NY,Include,Allegany,F36003,Region_02,H04,Great Lakes Region,H04130002,Upper Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.70480001,NHD100,Non-Urban,Non-Urban,Non-Urban,116,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1713.78264,c(243382.081749852, 4682503.10287077),46003,1
Site-034,Base,None,-73.9836451,44.50025972,None,1058021.222,9.45E-07,None,338295,165086717,6.00002E+13,4.30011E+12,942271,Alder Brook,2.220180355,460,46006,H0430,7,2,2,18.8820277,NA,0,1,250000,Not_Border,NY,Include,Franklin,F36033,Region_02,H02,Mid-Atlantic Region,H04300106,Saranac River,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,26.62339993,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ad,Central Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2220.180355,c(580797.650354142, 4927940.34653279),46006,2
Site-035,Base,None,-75.77610707,43.60153129,None,1058021.222,9.45E-07,None,221543,129636166,6.00006E+13,4.1401E+12,NA,NA,0.842896935,460,46006,H0414,10,2,2,0.91325043,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Oswego,F36075,Region_02,H04,Great Lakes Region,H04140102,Salmon-Sandy,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.70340003,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,58ae,Tug Hill Plateau,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,842.8969346,c(437361.285893172, 4827909.93017054),46006,2
