siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order,region
Site-11,Base,None,-76.13448816,43.16235656,None,2645053.055,3.78E-07,None,238565,124494622,6.00006E+13,4.1402E+12,NA,NA,1.401041577,334,33400,H0414,9,1,1,2.28103428,NA,0,1,1.00E+05,Not_Border,NY,Include,Onondaga,F36067,Region_02,H04,Great Lakes Region,H04140202,Oneida,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,3.59729999,NHD100,Urban,Urban,Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1401.041577,c(407773.184670552, 4779469.11784059),33400,1,
Site-12,Base,None,-75.63587292,42.42113475,None,2645053.055,3.78E-07,None,19855,62626744,1.00006E+13,2.0501E+12,946488,Chenango River,0.688769992,558,55800,H0205,2,5,5,746.3823203,120006992,0,1,5.00E+06,Not_Border,NY,Include,Chenango,F36017,Region_02,H02,Mid-Atlantic Region,H02050102,Chenango,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1211.5383,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,688.7699922,c(447687.074335963, 4696731.88024978),55800,4,
Site-13,Base,None,-77.81109221,42.60829525,None,2645053.055,3.78E-07,None,246751,84184717,6.00007E+13,4.13E+12,NA,NA,0.514725457,460,46003,H0413,13,1,1,0.11553815,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Livingston,F36051,Region_02,H04,Great Lakes Region,H04130002,Upper Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.21259998,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,514.7254566,c(269414.558311285, 4721149.16437687),46003,1,
Site-14,Base,None,-74.86705338,42.96334638,None,2645053.055,3.78E-07,None,126655,167263319,1.00007E+13,2.02E+12,NA,NA,2.173142418,460,46006,H0202,7,1,1,0.844978,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Herkimer,F36043,Region_02,H02,Mid-Atlantic Region,H02020004,Mohawk,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.36610006,NHD100,Non-Urban,Non-Urban,Non-Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2173.142418,c(510842.699338407, 4756753.06056821),46006,1,
Site-15,Base,None,-77.92512412,42.89439133,None,2645053.055,3.78E-07,None,242470,42141679,6.00007E+13,4.13E+12,NA,NA,1.308123078,460,46006,H0413,12,1,1,0.6905354,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Livingston,F36051,Region_02,H04,Great Lakes Region,H04130003,Lower Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.41780001,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1308.123078,c(261162.246436818, 4753238.83514172),46006,1,
Site-16,Base,None,-74.28622049,41.46832195,None,2645053.055,3.78E-07,None,44125,61760509,1.00007E+13,2.02001E+12,970746,Wallkill River,0.724987047,558,55800,H0202,3,6,6,726.0222729,61790843,0,1,0,Not_Border,NY,Include,Orange,F36071,Region_02,H02,Mid-Atlantic Region,H02020007,Rondout,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1046.231299,NHD100,Non-Urban,Non-Urban,Non-Urban,118,67k,Northern Glaciated Shale and Slate Valleys,67,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS,SAP,Southern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,724.9870473,c(559603.230084399, 4590993.2205108),55800,4,
Site-17,Base,None,-78.93112924,42.64200699,None,2645053.055,3.78E-07,None,230943,108912755,6.00011E+13,4.1201E+12,NA,NA,4.133585661,460,46003,H0412,8,1,1,3.06517746,NA,0,1,1.00E+05,Not_Border,NY,Include,Erie,F36029,Region_02,H04,Great Lakes Region,H04120103,Buffalo-Eighteenmile,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,5.50419998,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83a,Erie/Ontario Lake Plain,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,4133.585661,c(177705.099532421, 4728557.54492085),46003,1,
Site-18,Base,None,-74.29421825,44.1543163,None,2645053.055,3.78E-07,None,325023,132421400,6.00003E+13,4.29001E+12,NA,NA,2.534906418,460,46006,H0429,7,1,1,1.723412,NA,0,1,1.00E+05,Not_Border,NY,Include,Franklin,F36033,Region_02,H04,Great Lakes Region,H04290005,Raquette,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,2.62230001,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ad,Central Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2534.906418,c(556438.599842935, 4889254.79446836),46006,1,
Site-19,Base,None,-73.62105746,43.93877256,None,2645053.055,3.78E-07,None,150496,89347941,1.00007E+13,2.02E+12,NA,NA,1.025152895,460,46003,H0202,4,1,1,0.910343,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Essex,F36031,Region_02,H02,Mid-Atlantic Region,H02020001,Upper Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.2696,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58ac,Eastern Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1025.152895,c(610669.533896349, 4865996.657032),46003,1,
Site-20,Base,None,-74.61166296,42.75026674,None,2645053.055,3.78E-07,None,136651,33521181,1.00007E+13,2.02001E+12,NA,NA,1.486102409,460,46006,H0202,6,1,1,0.691994,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Schoharie,F36095,Region_02,H02,Mid-Atlantic Region,H02020005,Schoharie,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.31440001,NHD100,Non-Urban,Non-Urban,Non-Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1486.102409,c(531780.619359999, 4733156.05806701),46006,1,
Site-21,Base,None,-76.17173501,42.14838173,None,2645053.055,3.78E-07,None,83518,46461295,1.00006E+13,2.0501E+12,NA,NA,0.104872621,558,55800,H0205,4,1,1,0.056529,46467915,0,1,24000,Not_Border,NY,Exclude_Lake,Tioga,F36107,Region_02,H02,Mid-Atlantic Region,H02050103,Owego-Wappasening,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.12360002,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,104.8726209,c(403184.778346741, 4666915.46086984),55800,1,
Site-22,Base,None,-75.28611442,44.41880249,None,2645053.055,3.78E-07,None,239800,132853436,6.00003E+13,4.29E+12,976082,Carter Creek,0.963179023,460,46006,H0429,8,3,3,8.377194,NA,0,1,5.00E+05,Not_Border,NY,Include,St. Lawrence,F36089,Region_02,H04,Great Lakes Region,H04290004,Grass,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,16.1858,NHD100,Non-Urban,Non-Urban,Non-Urban,117,83e,Upper St. Lawrence Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,963.1790233,c(477222.999925211, 4918429.82602599),46006,3,
Site-23,Base,None,-76.87438276,43.23909416,None,2645053.055,3.78E-07,None,254988,113129087,6.00006E+13,4.1401E+12,NA,NA,0.032663937,334,33400,H0414,10,1,1,1.24646185,NA,0,1,24000,Not_Border,NY,Include,Wayne,F36117,Region_02,H04,Great Lakes Region,H04140101,Irondequoit-Ninemile,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,2.55600001,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,83a,Erie/Ontario Lake Plain,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,32.6639374,c(347814.151868531, 4789071.9596412),33400,1,
Site-24,Base,None,-75.37246787,42.49394444,None,2645053.055,3.78E-07,None,96621,43480315,1.00006E+13,2.0501E+12,948676,Dry Brook,0.978604314,460,46006,H0205,4,1,1,0.429577,NA,0,1,5.00E+05,Not_Border,NY,Exclude_NoFlow,Otsego,F36077,Region_02,H02,Mid-Atlantic Region,H02050101,Upper Susquehanna,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.8114,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,978.6043142,c(469392.783646833, 4704687.88413703),46006,1,
Site-25,Base,None,-73.93409025,43.41235036,None,2645053.055,3.78E-07,None,124469,89361117,1.00007E+13,2.02E+12,NA,NA,1.774208268,460,46003,H0202,3,1,1,1.927693,NA,0,1,0,Not_Border,NY,Include,Warren,F36113,Region_02,H02,Mid-Atlantic Region,H02020001,Upper Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.52780003,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58ac,Eastern Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1774.208268,c(586297.595396818, 4807158.9591518),46003,1,
Site-26,Base,None,-74.8320653,42.86651385,None,2645053.055,3.78E-07,None,146561,43468219,1.00006E+13,2.0501E+12,NA,NA,0.991689665,460,46006,H0205,2,1,1,0.566367,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,Otsego,F36077,Region_02,H02,Mid-Atlantic Region,H02050101,Upper Susquehanna,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.90839998,NHD100,Non-Urban,Non-Urban,Non-Urban,158,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,991.689665,c(513717.676168599, 4746005.23595631),46006,1,
Site-27,Base,None,-78.82602618,43.25104549,None,2645053.055,3.78E-07,None,227507,124593438,6.00007E+13,4.13E+12,949021,East Branch Twelvemile Creek,3.917248415,460,46006,H0413,8,4,4,23.105715,NA,0,1,1.00E+06,Not_Border,NY,Include,Niagara,F36063,Region_02,H04,Great Lakes Region,H04130001,Oak Orchard-Twelvemile,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,63.4626,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83a,Erie/Ontario Lake Plain,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,3917.248415,c(189405.166643493, 4795804.72798275),46006,4,
Site-28,Base,None,-73.76946743,42.49137441,None,2645053.055,3.78E-07,None,40850,52822677,1.00007E+13,2.02001E+12,964592,Schodack Creek,3.112553008,558,55800,H0202,2,4,4,26.81896743,120006985,0,1,2.00E+06,Not_Border,NY,Exclude_Connector,Rensselaer,F36083,Region_02,H02,Mid-Atlantic Region,H02020006,Middle Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,57.0349,NHD100,Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,3112.553008,c(601122.692226385, 4705068.86873508),55800,4,
Site-29,Base,None,-77.88767507,42.64572789,None,2645053.055,3.78E-07,None,184420,84183501,6.00007E+13,4.13E+12,NA,NA,4.306360623,460,46003,H0413,14,1,1,0.65846299,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,Livingston,F36051,Region_02,H04,Great Lakes Region,H04130002,Upper Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.51510003,NHD100,Non-Urban,Non-Urban,Non-Urban,116,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,4306.360623,c(263274.258792932, 4725517.85020623),46003,1,
Site-30,Base,None,-73.66860324,43.15068787,None,2645053.055,3.78E-07,None,141064,50508421,1.00007E+13,2.02E+12,NA,NA,0.313772806,460,46003,H0202,4,1,1,0.466985,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,Saratoga,F36091,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.04940003,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,313.7728065,c(608255.033688087, 4778408.94650485),46003,1,
Site-31,Base,None,-75.23343386,43.11219235,None,2645053.055,3.78E-07,None,129779,53527419,1.00007E+13,2.02E+12,970360,Mohawk River,4.435100219,558,55800,H0202,2,5,5,402.2423863,120006537,0,1,0,Not_Border,NY,Include,Oneida,F36065,Region_02,H02,Mid-Atlantic Region,H02020004,Mohawk,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1014.2769,NHD100,Urban,Urban,Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,4435.100219,c(481007.841783285, 4773300.13000415),55800,4,
Site-32,Base,None,-73.52629719,40.61297567,None,2645053.055,3.78E-07,None,2249,139718048,1.00001E+13,2.0302E+12,NA,NA,0.416285626,460,46006,H0203,4,1,1,0.02208,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Nassau,F36059,Region_02,H02,Mid-Atlantic Region,H02030202,Southern Long Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.03919999,NHD100,Non-Urban,Non-Urban,Non-Urban,118,84c,Barrier Islands/Coastal Marshes,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,SS,416.2856263,c(624664.926240929, 4496838.89090183),46006,1,
Site-33,Base,None,-79.41020039,42.08497497,None,2645053.055,3.78E-07,None,99656,129445999,2.40004E+13,5.01E+12,NA,NA,0.239445654,460,46006,H0501,7,2,2,1.2993939,NA,0,1,1.00E+05,Not_Border,NY,Include,Chautauqua,F36013,Region_02,H05,Ohio Region,H05010002,Conewango,H05_06,Ohio-Tennessee Region,H05_06,Ohio-Tennessee Region,1.67359997,NHD100,Non-Urban,Non-Urban,Non-Urban,150,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,239.4456544,c(135207.000812335, 4668630.54345671),46006,2,
Site-34,Base,None,-75.28018757,44.46478875,None,2645053.055,3.78E-07,None,241105,132853414,6.00003E+13,4.29E+12,NA,NA,3.380663357,460,46006,H0429,8,1,1,0.907497,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,St. Lawrence,F36089,Region_02,H04,Great Lakes Region,H04290004,Grass,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.95609997,NHD100,Non-Urban,Non-Urban,Non-Urban,117,83d,St. Lawrence Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,3380.663357,c(477712.315031885, 4923536.18496665),46006,1,
