"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"11","Site-011","Base","None",-73.3984765356581,40.6524699223547,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","2714","139722370",10000100016400,"02030202013296",NA,NA,0.463496443777,558,55800,"H0203",2,1,1,0.010209,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.0174,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",463.496443777,c(1877400.90739085, 2184378.57344257),55800,1
"12","Site-012","Base","None",-72.7576894068707,40.7922002487111,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","1223","139722626",10000100068200,"02030202014974",NA,NA,0.376787914173,558,55800,"H0203",3,1,1,1.234589,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.10499999,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",376.787914173,c(1925788.25878824, 2212397.19958792),55800,1
"13","Site-013","Base","None",-72.2780855511617,41.021037537601,"Atlantic Coastal Pine Barrens",60997.9703911042,1.63939880882633e-05,"4","2053","139720841",10000100085700,"02030202015439",NA,NA,1.05374385855,558,55800,"H0203",1,4,4,260.19009537,"139743504",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",425.32049999,"NHD100","Urban","Non-Urban","Non-Urban",118,"84a","Cape Cod/Long Island","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","LS",1053.74385855,c(1958376.22320314, 2247045.77724757),55800,4
"14","Site-014","Base","None",-73.5690944208141,40.6321938472817,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","277002","139721541",10000100016100,"02030202000207","00949650","Emory Creek",0.886067878695,558,55800,"H0203",4,1,1,0.00849,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Nassau","F36059","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.0148,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",886.067878695,c(1864024.7612287, 2178812.42573613),55800,1
"15","Site-015","Base","None",-73.0570857366253,40.714235602833,"Atlantic Coastal Pine Barrens",60997.9703911042,1.63939880882633e-05,"4","269971","139722516",10000100005300,"02030202014663",NA,NA,1.22914289337,558,55800,"H0203",2,4,4,89.8689824,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",133.30709989,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","LS",1229.14289337,c(1903555.83517417, 2197889.97317679),55800,4
"16","Site-016","Base","None",-72.6199836356163,40.8052988080939,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","3193","139722743",10000100068300,"02030202015596",NA,NA,0.496134524515,558,55800,"H0203",2,2,2,15.17475423,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",23.40010001,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",496.134524515,c(1936610.45236865, 2216618.57887613),55800,2
"17","Site-017","Base","None",-73.8206687767139,41.7249282780269,"Northeastern Coastal Zone",1063978.32133513,9.39868773590384e-07,"1","90437","37084503",10000700026100,"02020008002482",NA,NA,1.71209390791,460,46006,"H0202",3,1,1,0.578401,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Dutchess","F36027","Region_02","H02","Mid-Atlantic Region","H02020008","Hudson-Wappinger","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.98279999,"NHD100","Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1712.09390791,c(1815208.78456867, 2292925.4127386),46006,1
"18","Site-018","Base","None",-74.0333601903082,41.8248676815882,"Northeastern Coastal Zone",1063978.32133513,9.39868773590384e-07,"1","30044","61779863",10000700043800,"02020007003159",NA,NA,0.798562709588,460,46003,"H0202",5,1,1,0.132739,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Ulster","F36111","Region_02","H02","Mid-Atlantic Region","H02020007","Rondout","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.20909999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",798.562709588,c(1795552.48310262, 2299766.88446335),46003,1
"19","Site-019","Base","None",-73.8294013026172,42.3223719410892,"Northeastern Coastal Zone",465490.515584117,2.14827148249231e-06,"3","12946","52828951",10000700074400,"02020006004360",NA,NA,0.505691923099,460,46006,"H0202",3,3,0,0.091835,NA,0,1,5e+05,"Not_Border","NY","Exclude_SideChannel","Greene","F36039","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",12.57419992,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",505.691923099,c(1799057.3265868, 2357777.57111894),46006,3
"20","Site-020","Base","None",-73.664069635501,43.2744685948347,"Northeastern Coastal Zone",709318.880890084,1.40980316038558e-06,"4","122142","50503923",10000700008000,"02020003010618","00970226","Hudson River",0.624752430198,558,55800,"H0202",1,7,7,5616.59438457,"120006540",0,1,5e+06,"Not_Border","NY","Include","Warren","F36113","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",7035.08150025,"NHD100","Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",624.752430198,c(1787450.72570732, 2464384.03890437),55800,4
"21","Site-021","Base","None",-73.8517164620335,41.1827401534564,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","44420","55495837",10000100089700,"02030101000805",NA,NA,0.300071855131,460,46006,"H0203",4,2,2,0.283903,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Westchester","F36119","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.4423,"NHD100","Urban","Urban","Urban",118,"59c","Southern New England Coastal Plains and Hills","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",300.071855131,c(1826729.64005185, 2233287.57205397),46006,2
"22","Site-022","Base","None",-73.3717959992665,40.9989945240174,"Northeastern Coastal Zone",709318.880890084,1.40980316038558e-06,"4","2020","159518067",10000100056400,"02030203000711",NA,NA,3.19563239284,558,55800,"H0203",3,6,6,663.56495564,"{efcee92b-2684-452b-879a-df5d7233ab16}",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030203","Long Island Sound","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",34323.5454955,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59g","Long Island Sound Coastal Lowland","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",3195.63239284,c(1870421.9169227, 2222618.01996017),55800,4
"23","Site-023","Base","None",-73.7151434476717,42.5188426948144,"Northeastern Coastal Zone",465490.515584117,2.14827148249231e-06,"3","32606","52821539",10000700046100,"02020006007076","00970745","Vlockie Kill",2.21613762436,460,46006,"H0202",2,3,3,6.65954478,NA,0,1,5e+05,"Not_Border","NY","Include","Rensselaer","F36083","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",13.23720004,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",2216.13762436,c(1803054.90187521, 2381310.99886972),46006,3
"24","Site-024","Base","None",-73.8113525977733,42.8756543770354,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","134889","50516837",10000700007000,"02020003000335","00948887","Dwaas Kill",1.125547276,460,46006,"H0202",3,2,2,1.84902,NA,0,1,250000,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.56760001,"NHD100","Urban","Urban","Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1125.547276,c(1786186.58717485, 2418285.03424571),46006,2
"25","Site-025","Base","None",-73.8454859457101,41.0232346869104,"Northeastern Coastal Zone",465490.515584117,2.14827148249231e-06,"3","290239","55504325",10000100009600,"02030101006112","00964521","Saw Mill River",0.0680623487966,460,46006,"H0203",2,3,3,36.29465472,NA,0,1,0,"Not_Border","NY","Include","Westchester","F36119","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",50.13810011,"NHD100","Urban","Urban","Urban",118,"59c","Southern New England Coastal Plains and Hills","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",68.0623487966,c(1831359.9018629, 2216031.5495538),46006,3
"26","Site-026","Base","None",-72.5679607698454,41.0338897810405,"Northeastern Coastal Zone",465490.515584117,2.14827148249231e-06,"3","2634","133270125",10000100017100,"02030203000776",NA,NA,16.8541620258,558,55800,"H0203",3,3,3,151.94292179,"{efcee92b-2684-452b-879a-df5d7233ab16}",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H01","New England Region","H02030203","Long Island Sound","H01","New England Region","NMRB","Not Mississippi River Basin",238.01960013,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59g","Long Island Sound Coastal Lowland","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",16854.1620258,c(1934584.19857001, 2242503.54071864),55800,3
"27","Site-027","Base","None",-73.6924938070032,42.877825185552,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","132194","50516773",10000700065600,"02020003013357",NA,NA,0.816909690681,460,46006,"H0202",2,2,2,1.511602,NA,0,1,1e+05,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.93719996,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",816.909690681,c(1795522.40794641, 2420760.80240097),46006,2
"28","Site-028","Base","None",-73.7134451531986,42.9635696092508,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","146905","50515049",10000700065500,"02020003013036","00964632","Schuyler Creek",1.64119010788,334,33400,"H0202",2,2,2,2.42730234,NA,0,1,250000,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.73160006,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1641.19010788,c(1791641.04744434, 2429682.64545684),33400,2
"29","Site-029","Base","None",-73.5672747972374,41.1845670924517,"Northeastern Coastal Zone",1063978.32133513,9.39868773590384e-07,"1","58933","122237532",10000800000400,"01100006003380",NA,NA,0.117912307961,558,55800,"H0110",6,1,1,0.453717,"122235116",0,1,50000,"Not_Border","NY","Exclude_Lake","Westchester","F36119","Region_02","H01","New England Region","H01100006","Saugatuck","H01","New England Region","NMRB","Not Mississippi River Basin",0.65320001,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59c","Southern New England Coastal Plains and Hills","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",117.912307961,c(1849707.25868774, 2238988.44209231),55800,1
"30","Site-030","Base","None",-73.8626628457828,42.2940951033473,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","71363","52829729",10000700045100,"02020006004481",NA,NA,0.428806143219,460,46006,"H0202",4,2,2,0.421613,NA,0,1,24000,"Not_Border","NY","Exclude_NoFlow","Greene","F36039","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.86360002,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",428.806143219,c(1797137.22100894, 2354071.84760931),46006,2
